"Gemeentecode","GemeentecodeGM","Gemeentenaam","Provinciecode","ProvinciecodePV","Provincienaam"
1876,"GM1876","Bronckhorst",25,"PV25","Gelderland"
213,"GM0213","Brummen",25,"PV25","Gelderland"
899,"GM0899","Brunssum",31,"PV31","Limburg"
312,"GM0312","Bunnik",26,"PV26","Utrecht"
313,"GM0313","Bunschoten",26,"PV26","Utrecht"
214,"GM0214","Buren",25,"PV25","Gelderland"
502,"GM0502","Capelle aan den IJssel",28,"PV28","Zuid-Holland"
383,"GM0383","Castricum",27,"PV27","Noord-Holland"
109,"GM0109","Coevorden",22,"PV22","Drenthe"
1706,"GM1706","Cranendonck",30,"PV30","Noord-Brabant"
216,"GM0216","Culemborg",25,"PV25","Gelderland"
148,"GM0148","Dalfsen",23,"PV23","Overijssel"
1891,"GM1891","Dantumadiel",21,"PV21","Frysl�n"
503,"GM0503","Delft",28,"PV28","Zuid-Holland"
762,"GM0762","Deurne",30,"PV30","Noord-Brabant"
150,"GM0150","Deventer",23,"PV23","Overijssel"
384,"GM0384","Diemen",27,"PV27","Noord-Holland"
1980,"GM1980","Dijk en Waard",27,"PV27","Noord-Holland"
1774,"GM1774","Dinkelland",23,"PV23","Overijssel"
221,"GM0221","Doesburg",25,"PV25","Gelderland"
222,"GM0222","Doetinchem",25,"PV25","Gelderland"
766,"GM0766","Dongen",30,"PV30","Noord-Brabant"
505,"GM0505","Dordrecht",28,"PV28","Zuid-Holland"
498,"GM0498","Drechterland",27,"PV27","Noord-Holland"
1719,"GM1719","Drimmelen",30,"PV30","Noord-Brabant"
303,"GM0303","Dronten",24,"PV24","Flevoland"
225,"GM0225","Druten",25,"PV25","Gelderland"
226,"GM0226","Duiven",25,"PV25","Gelderland"
1711,"GM1711","Echt-Susteren",31,"PV31","Limburg"
385,"GM0385","Edam-Volendam",27,"PV27","Noord-Holland"
228,"GM0228","Ede",25,"PV25","Gelderland"
317,"GM0317","Eemnes",26,"PV26","Utrecht"
1979,"GM1979","Eemsdelta",20,"PV20","Groningen"
770,"GM0770","Eersel",30,"PV30","Noord-Brabant"
1903,"GM1903","Eijsden-Margraten",31,"PV31","Limburg"
772,"GM0772","Eindhoven",30,"PV30","Noord-Brabant"
230,"GM0230","Elburg",25,"PV25","Gelderland"
114,"GM0114","Emmen",22,"PV22","Drenthe"
388,"GM0388","Enkhuizen",27,"PV27","Noord-Holland"
153,"GM0153","Enschede",23,"PV23","Overijssel"
232,"GM0232","Epe",25,"PV25","Gelderland"
233,"GM0233","Ermelo",25,"PV25","Gelderland"
777,"GM0777","Etten-Leur",30,"PV30","Noord-Brabant"
1940,"GM1940","De Fryske Marren",21,"PV21","Frysl�n"
779,"GM0779","Geertruidenberg",30,"PV30","Noord-Brabant"
1771,"GM1771","Geldrop-Mierlo",30,"PV30","Noord-Brabant"
1652,"GM1652","Gemert-Bakel",30,"PV30","Noord-Brabant"
907,"GM0907","Gennep",31,"PV31","Limburg"
784,"GM0784","Gilze en Rijen",30,"PV30","Noord-Brabant"
1924,"GM1924","Goeree-Overflakkee",28,"PV28","Zuid-Holland"
664,"GM0664","Goes",29,"PV29","Zeeland"
785,"GM0785","Goirle",30,"PV30","Noord-Brabant"
1942,"GM1942","Gooise Meren",27,"PV27","Noord-Holland"
512,"GM0512","Gorinchem",28,"PV28","Zuid-Holland"
513,"GM0513","Gouda",28,"PV28","Zuid-Holland"
518,"GM0518","'s-Gravenhage",28,"PV28","Zuid-Holland"
14,"GM0014","Groningen",20,"PV20","Groningen"
1729,"GM1729","Gulpen-Wittem",31,"PV31","Limburg"
158,"GM0158","Haaksbergen",23,"PV23","Overijssel"
392,"GM0392","Haarlem",27,"PV27","Noord-Holland"
394,"GM0394","Haarlemmermeer",27,"PV27","Noord-Holland"
1655,"GM1655","Halderberge",30,"PV30","Noord-Brabant"
160,"GM0160","Hardenberg",23,"PV23","Overijssel"
243,"GM0243","Harderwijk",25,"PV25","Gelderland"
523,"GM0523","Hardinxveld-Giessendam",28,"PV28","Zuid-Holland"
72,"GM0072","Harlingen",21,"PV21","Frysl�n"
244,"GM0244","Hattem",25,"PV25","Gelderland"
396,"GM0396","Heemskerk",27,"PV27","Noord-Holland"
397,"GM0397","Heemstede",27,"PV27","Noord-Holland"
246,"GM0246","Heerde",25,"PV25","Gelderland"
74,"GM0074","Heerenveen",21,"PV21","Frysl�n"
917,"GM0917","Heerlen",31,"PV31","Limburg"
1658,"GM1658","Heeze-Leende",30,"PV30","Noord-Brabant"
399,"GM0399","Heiloo",27,"PV27","Noord-Holland"
400,"GM0400","Den Helder",27,"PV27","Noord-Holland"
163,"GM0163","Hellendoorn",23,"PV23","Overijssel"
530,"GM0530","Hellevoetsluis",28,"PV28","Zuid-Holland"
794,"GM0794","Helmond",30,"PV30","Noord-Brabant"
531,"GM0531","Hendrik-Ido-Ambacht",28,"PV28","Zuid-Holland"
164,"GM0164","Hengelo",23,"PV23","Overijssel"
796,"GM0796","'s-Hertogenbosch",30,"PV30","Noord-Brabant"
252,"GM0252","Heumen",25,"PV25","Gelderland"
797,"GM0797","Heusden",30,"PV30","Noord-Brabant"
534,"GM0534","Hillegom",28,"PV28","Zuid-Holland"
798,"GM0798","Hilvarenbeek",30,"PV30","Noord-Brabant"
402,"GM0402","Hilversum",27,"PV27","Noord-Holland"
1963,"GM1963","Hoeksche Waard",28,"PV28","Zuid-Holland"
1735,"GM1735","Hof van Twente",23,"PV23","Overijssel"
1966,"GM1966","Het Hogeland",20,"PV20","Groningen"
1911,"GM1911","Hollands Kroon",27,"PV27","Noord-Holland"
118,"GM0118","Hoogeveen",22,"PV22","Drenthe"
405,"GM0405","Hoorn",27,"PV27","Noord-Holland"
1507,"GM1507","Horst aan de Maas",31,"PV31","Limburg"
321,"GM0321","Houten",26,"PV26","Utrecht"
406,"GM0406","Huizen",27,"PV27","Noord-Holland"
677,"GM0677","Hulst",29,"PV29","Zeeland"
353,"GM0353","IJsselstein",26,"PV26","Utrecht"
1884,"GM1884","Kaag en Braassem",28,"PV28","Zuid-Holland"
166,"GM0166","Kampen",23,"PV23","Overijssel"
678,"GM0678","Kapelle",29,"PV29","Zeeland"
537,"GM0537","Katwijk",28,"PV28","Zuid-Holland"
928,"GM0928","Kerkrade",31,"PV31","Limburg"
1598,"GM1598","Koggenland",27,"PV27","Noord-Holland"
542,"GM0542","Krimpen aan den IJssel",28,"PV28","Zuid-Holland"
1931,"GM1931","Krimpenerwaard",28,"PV28","Zuid-Holland"
1659,"GM1659","Laarbeek",30,"PV30","Noord-Brabant"
1982,"GM1982","Land van Cuijk",30,"PV30","Noord-Brabant"
882,"GM0882","Landgraaf",31,"PV31","Limburg"
415,"GM0415","Landsmeer",27,"PV27","Noord-Holland"
1621,"GM1621","Lansingerland",28,"PV28","Zuid-Holland"
417,"GM0417","Laren",27,"PV27","Noord-Holland"
80,"GM0080","Leeuwarden",21,"PV21","Frysl�n"
546,"GM0546","Leiden",28,"PV28","Zuid-Holland"
547,"GM0547","Leiderdorp",28,"PV28","Zuid-Holland"
1916,"GM1916","Leidschendam-Voorburg",28,"PV28","Zuid-Holland"
995,"GM0995","Lelystad",24,"PV24","Flevoland"
1640,"GM1640","Leudal",31,"PV31","Limburg"
327,"GM0327","Leusden",26,"PV26","Utrecht"
1705,"GM1705","Lingewaard",25,"PV25","Gelderland"
553,"GM0553","Lisse",28,"PV28","Zuid-Holland"
262,"GM0262","Lochem",25,"PV25","Gelderland"
809,"GM0809","Loon op Zand",30,"PV30","Noord-Brabant"
331,"GM0331","Lopik",26,"PV26","Utrecht"
168,"GM0168","Losser",23,"PV23","Overijssel"
263,"GM0263","Maasdriel",25,"PV25","Gelderland"
1641,"GM1641","Maasgouw",31,"PV31","Limburg"
1991,"GM1991","Maashorst",30,"PV30","Noord-Brabant"
556,"GM0556","Maassluis",28,"PV28","Zuid-Holland"
935,"GM0935","Maastricht",31,"PV31","Limburg"
420,"GM0420","Medemblik",27,"PV27","Noord-Holland"
938,"GM0938","Meerssen",31,"PV31","Limburg"
1948,"GM1948","Meierijstad",30,"PV30","Noord-Brabant"
119,"GM0119","Meppel",22,"PV22","Drenthe"
687,"GM0687","Middelburg",29,"PV29","Zeeland"
1842,"GM1842","Midden-Delfland",28,"PV28","Zuid-Holland"
1731,"GM1731","Midden-Drenthe",22,"PV22","Drenthe"
1952,"GM1952","Midden-Groningen",20,"PV20","Groningen"
1709,"GM1709","Moerdijk",30,"PV30","Noord-Brabant"
1978,"GM1978","Molenlanden",28,"PV28","Zuid-Holland"
1955,"GM1955","Montferland",25,"PV25","Gelderland"
335,"GM0335","Montfoort",26,"PV26","Utrecht"
944,"GM0944","Mook en Middelaar",31,"PV31","Limburg"
1740,"GM1740","Neder-Betuwe",25,"PV25","Gelderland"
946,"GM0946","Nederweert",31,"PV31","Limburg"
356,"GM0356","Nieuwegein",26,"PV26","Utrecht"
569,"GM0569","Nieuwkoop",28,"PV28","Zuid-Holland"
267,"GM0267","Nijkerk",25,"PV25","Gelderland"
268,"GM0268","Nijmegen",25,"PV25","Gelderland"
1930,"GM1930","Nissewaard",28,"PV28","Zuid-Holland"
1970,"GM1970","Noardeast-Frysl�n",21,"PV21","Frysl�n"
1695,"GM1695","Noord-Beveland",29,"PV29","Zeeland"
1699,"GM1699","Noordenveld",22,"PV22","Drenthe"
171,"GM0171","Noordoostpolder",24,"PV24","Flevoland"
575,"GM0575","Noordwijk",28,"PV28","Zuid-Holland"
820,"GM0820","Nuenen, Gerwen en Nederwetten",30,"PV30","Noord-Brabant"
302,"GM0302","Nunspeet",25,"PV25","Gelderland"
579,"GM0579","Oegstgeest",28,"PV28","Zuid-Holland"
823,"GM0823","Oirschot",30,"PV30","Noord-Brabant"
824,"GM0824","Oisterwijk",30,"PV30","Noord-Brabant"
1895,"GM1895","Oldambt",20,"PV20","Groningen"
269,"GM0269","Oldebroek",25,"PV25","Gelderland"
173,"GM0173","Oldenzaal",23,"PV23","Overijssel"
1773,"GM1773","Olst-Wijhe",23,"PV23","Overijssel"
175,"GM0175","Ommen",23,"PV23","Overijssel"
1586,"GM1586","Oost Gelre",25,"PV25","Gelderland"
826,"GM0826","Oosterhout",30,"PV30","Noord-Brabant"
85,"GM0085","Ooststellingwerf",21,"PV21","Frysl�n"
431,"GM0431","Oostzaan",27,"PV27","Noord-Holland"
432,"GM0432","Opmeer",27,"PV27","Noord-Holland"
86,"GM0086","Opsterland",21,"PV21","Frysl�n"
828,"GM0828","Oss",30,"PV30","Noord-Brabant"
1509,"GM1509","Oude IJsselstreek",25,"PV25","Gelderland"
437,"GM0437","Ouder-Amstel",27,"PV27","Noord-Holland"
589,"GM0589","Oudewater",26,"PV26","Utrecht"
1734,"GM1734","Overbetuwe",25,"PV25","Gelderland"
590,"GM0590","Papendrecht",28,"PV28","Zuid-Holland"
1894,"GM1894","Peel en Maas",31,"PV31","Limburg"
765,"GM0765","Pekela",20,"PV20","Groningen"
1926,"GM1926","Pijnacker-Nootdorp",28,"PV28","Zuid-Holland"
439,"GM0439","Purmerend",27,"PV27","Noord-Holland"
273,"GM0273","Putten",25,"PV25","Gelderland"
177,"GM0177","Raalte",23,"PV23","Overijssel"
703,"GM0703","Reimerswaal",29,"PV29","Zeeland"
274,"GM0274","Renkum",25,"PV25","Gelderland"
339,"GM0339","Renswoude",26,"PV26","Utrecht"
1667,"GM1667","Reusel-De Mierden",30,"PV30","Noord-Brabant"
275,"GM0275","Rheden",25,"PV25","Gelderland"
340,"GM0340","Rhenen",26,"PV26","Utrecht"
597,"GM0597","Ridderkerk",28,"PV28","Zuid-Holland"
1742,"GM1742","Rijssen-Holten",23,"PV23","Overijssel"
603,"GM0603","Rijswijk",28,"PV28","Zuid-Holland"
1669,"GM1669","Roerdalen",31,"PV31","Limburg"
957,"GM0957","Roermond",31,"PV31","Limburg"
736,"GM0736","De Ronde Venen",26,"PV26","Utrecht"
1674,"GM1674","Roosendaal",30,"PV30","Noord-Brabant"
599,"GM0599","Rotterdam",28,"PV28","Zuid-Holland"
277,"GM0277","Rozendaal",25,"PV25","Gelderland"
840,"GM0840","Rucphen",30,"PV30","Noord-Brabant"
441,"GM0441","Schagen",27,"PV27","Noord-Holland"
279,"GM0279","Scherpenzeel",25,"PV25","Gelderland"
606,"GM0606","Schiedam",28,"PV28","Zuid-Holland"
88,"GM0088","Schiermonnikoog",21,"PV21","Frysl�n"
1676,"GM1676","Schouwen-Duiveland",29,"PV29","Zeeland"
965,"GM0965","Simpelveld",31,"PV31","Limburg"
845,"GM0845","Sint-Michielsgestel",30,"PV30","Noord-Brabant"
1883,"GM1883","Sittard-Geleen",31,"PV31","Limburg"
610,"GM0610","Sliedrecht",28,"PV28","Zuid-Holland"
1714,"GM1714","Sluis",29,"PV29","Zeeland"
90,"GM0090","Smallingerland",21,"PV21","Frysl�n"
342,"GM0342","Soest",26,"PV26","Utrecht"
847,"GM0847","Someren",30,"PV30","Noord-Brabant"
848,"GM0848","Son en Breugel",30,"PV30","Noord-Brabant"
37,"GM0037","Stadskanaal",20,"PV20","Groningen"
180,"GM0180","Staphorst",23,"PV23","Overijssel"
532,"GM0532","Stede Broec",27,"PV27","Noord-Holland"
851,"GM0851","Steenbergen",30,"PV30","Noord-Brabant"
1708,"GM1708","Steenwijkerland",23,"PV23","Overijssel"
971,"GM0971","Stein",31,"PV31","Limburg"
1904,"GM1904","Stichtse Vecht",26,"PV26","Utrecht"
1900,"GM1900","S�dwest-Frysl�n",21,"PV21","Frysl�n"
715,"GM0715","Terneuzen",29,"PV29","Zeeland"
93,"GM0093","Terschelling",21,"PV21","Frysl�n"
448,"GM0448","Texel",27,"PV27","Noord-Holland"
1525,"GM1525","Teylingen",28,"PV28","Zuid-Holland"
716,"GM0716","Tholen",29,"PV29","Zeeland"
281,"GM0281","Tiel",25,"PV25","Gelderland"
855,"GM0855","Tilburg",30,"PV30","Noord-Brabant"
183,"GM0183","Tubbergen",23,"PV23","Overijssel"
1700,"GM1700","Twenterand",23,"PV23","Overijssel"
1730,"GM1730","Tynaarlo",22,"PV22","Drenthe"
737,"GM0737","Tytsjerksteradiel",21,"PV21","Frysl�n"
450,"GM0450","Uitgeest",27,"PV27","Noord-Holland"
451,"GM0451","Uithoorn",27,"PV27","Noord-Holland"
184,"GM0184","Urk",24,"PV24","Flevoland"
344,"GM0344","Utrecht",26,"PV26","Utrecht"
1581,"GM1581","Utrechtse Heuvelrug",26,"PV26","Utrecht"
981,"GM0981","Vaals",31,"PV31","Limburg"
994,"GM0994","Valkenburg aan de Geul",31,"PV31","Limburg"
858,"GM0858","Valkenswaard",30,"PV30","Noord-Brabant"
47,"GM0047","Veendam",20,"PV20","Groningen"
345,"GM0345","Veenendaal",26,"PV26","Utrecht"
717,"GM0717","Veere",29,"PV29","Zeeland"
861,"GM0861","Veldhoven",30,"PV30","Noord-Brabant"
453,"GM0453","Velsen",27,"PV27","Noord-Holland"
983,"GM0983","Venlo",31,"PV31","Limburg"
984,"GM0984","Venray",31,"PV31","Limburg"
1961,"GM1961","Vijfheerenlanden",26,"PV26","Utrecht"
622,"GM0622","Vlaardingen",28,"PV28","Zuid-Holland"
96,"GM0096","Vlieland",21,"PV21","Frysl�n"
718,"GM0718","Vlissingen",29,"PV29","Zeeland"
986,"GM0986","Voerendaal",31,"PV31","Limburg"
626,"GM0626","Voorschoten",28,"PV28","Zuid-Holland"
285,"GM0285","Voorst",25,"PV25","Gelderland"
865,"GM0865","Vught",30,"PV30","Noord-Brabant"
1949,"GM1949","Waadhoeke",21,"PV21","Frysl�n"
866,"GM0866","Waalre",30,"PV30","Noord-Brabant"
867,"GM0867","Waalwijk",30,"PV30","Noord-Brabant"
627,"GM0627","Waddinxveen",28,"PV28","Zuid-Holland"
289,"GM0289","Wageningen",25,"PV25","Gelderland"
629,"GM0629","Wassenaar",28,"PV28","Zuid-Holland"
852,"GM0852","Waterland",27,"PV27","Noord-Holland"
988,"GM0988","Weert",31,"PV31","Limburg"
1960,"GM1960","West Betuwe",25,"PV25","Gelderland"
668,"GM0668","West Maas en Waal",25,"PV25","Gelderland"
1969,"GM1969","Westerkwartier",20,"PV20","Groningen"
1701,"GM1701","Westerveld",22,"PV22","Drenthe"
293,"GM0293","Westervoort",25,"PV25","Gelderland"
1950,"GM1950","Westerwolde",20,"PV20","Groningen"
1783,"GM1783","Westland",28,"PV28","Zuid-Holland"
98,"GM0098","Weststellingwerf",21,"PV21","Frysl�n"
614,"GM0614","Westvoorne",28,"PV28","Zuid-Holland"
189,"GM0189","Wierden",23,"PV23","Overijssel"
296,"GM0296","Wijchen",25,"PV25","Gelderland"
1696,"GM1696","Wijdemeren",27,"PV27","Noord-Holland"
352,"GM0352","Wijk bij Duurstede",26,"PV26","Utrecht"
294,"GM0294","Winterswijk",25,"PV25","Gelderland"
873,"GM0873","Woensdrecht",30,"PV30","Noord-Brabant"
632,"GM0632","Woerden",26,"PV26","Utrecht"
1690,"GM1690","De Wolden",22,"PV22","Drenthe"
880,"GM0880","Wormerland",27,"PV27","Noord-Holland"
351,"GM0351","Woudenberg",26,"PV26","Utrecht"
479,"GM0479","Zaanstad",27,"PV27","Noord-Holland"
297,"GM0297","Zaltbommel",25,"PV25","Gelderland"
473,"GM0473","Zandvoort",27,"PV27","Noord-Holland"
50,"GM0050","Zeewolde",24,"PV24","Flevoland"
355,"GM0355","Zeist",26,"PV26","Utrecht"
299,"GM0299","Zevenaar",25,"PV25","Gelderland"
637,"GM0637","Zoetermeer",28,"PV28","Zuid-Holland"
638,"GM0638","Zoeterwoude",28,"PV28","Zuid-Holland"
1892,"GM1892","Zuidplas",28,"PV28","Zuid-Holland"
879,"GM0879","Zundert",30,"PV30","Noord-Brabant"
301,"GM0301","Zutphen",25,"PV25","Gelderland"
1896,"GM1896","Zwartewaterland",23,"PV23","Overijssel"
642,"GM0642","Zwijndrecht",28,"PV28","Zuid-Holland"
193,"GM0193","Zwolle",23,"PV23","Overijssel"
